,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Top3_sector_percent,Top5_sector_percent,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous
F00000V321,Liontrust GF Spec Sits C7 Instl Acc £,5,4,Flex-Cap,0.0,8.39,12.65,10.73,18.77,6.77,11.45,5.0,0.83,0.32,8.58,284722833.0,6,5257.29274,1,4.82,0.81,81.61,14.5,0.49,2,3,3.0,0,21.35,3.39,2.16,15.8,1.75,11.54,5.79,-4.32,11.3,-0.28,59.0,1,37.0,49.08,71.62,19.31,5.62,37.06,27.02,1.26,19.11,11.8,24.41,71.21,52.85,77.23,63.19,9.71,87.33,26.05,15.66,42.8,23.06,9.1,50.22,68.81,46.81,95.32,19.76,17.91,26.9,1,0,0,0,0
F00000U3Y2,Liontrust GF UK Growth C3 Instl Acc £,3,3,Flex-Cap,0.0,8.63,11.05,11.3,12.26,2.77,7.71,5.0,0.97,0.04,6.75,54535795.0,2,10233.68692,1,0.66,0.86,85.96,15.0,0.2,2,3,3.0,0,17.03,2.73,1.66,13.85,2.32,8.64,-1.69,-6.2,-0.67,-0.33,47.0,1,37.0,56.42,75.79,32.26,8.51,32.97,18.42,1.24,34.57,19.95,45.85,35.71,30.15,57.69,75.8,12.48,91.76,78.08,9.66,78.45,27.55,18.66,71.76,41.45,31.33,92.25,28.21,28.21,37.39,1,0,0,0,0
F0GBR04GTH,Liontrust Income A Acc GBP,3,4,Income,4.945530000000001,6.07,11.16,10.85,15.23,1.63,6.86,0.0,1.73,0.88,18.5,408363343.0,1,36741.08601,2,-0.16,0.96,90.65,16.36,0.15,2,1,3.0,0,14.86,2.36,1.34,12.15,3.15,7.49,4.25,-8.23,-3.65,-2.79,32.0,2,31.0,59.02,78.13,39.44,29.81,26.51,0.0,0.0,69.08,43.12,81.75,16.33,9.96,29.56,68.5,12.4,85.51,65.42,30.12,84.86,45.7,26.44,91.57,60.55,25.35,89.46,61.28,48.87,76.26,0,1,0,0,0
F00000OWFK,Liontrust Income C Acc GBP,4,4,Income,4.90846,6.3,11.63,11.26,16.22,2.51,7.78,0.0,0.88,0.88,18.5,408363343.0,1,36741.08601,2,0.68,0.96,90.66,16.37,0.2,2,1,3.0,1,14.86,2.36,1.34,12.15,3.15,7.49,4.25,-8.23,-3.65,-2.79,32.0,2,31.0,59.02,78.13,39.44,29.81,26.51,0.0,0.0,69.08,43.12,81.75,16.33,9.96,29.56,68.5,12.4,85.51,65.42,30.12,84.86,45.7,26.44,91.57,60.55,25.35,89.46,61.28,48.87,76.26,0,1,0,0,0
F00000P5TW,Liontrust MA UK Equity A Acc,3,4,Large-Cap,2.00153,8.45,12.6,9.18,16.32,2.65,6.61,0.0,0.96,0.02,8.33,120693367.0,2,10909.61917,4,1.05,1.06,87.72,18.34,0.22,2,2,3.0,1,15.81,2.03,1.46,11.88,2.17,11.51,-9.27,-6.12,2.03,-1.98,0.0,19,99.0,49.39,72.01,20.56,22.54,38.26,11.76,1.22,63.04,33.19,75.39,38.79,25.32,53.32,70.1,16.83,86.68,69.97,41.78,80.1,27.87,14.79,68.33,37.67,32.89,88.41,29.31,29.31,45.7,0,0,1,0,0
F0GBR04MZL,Liontrust MA UK Equity R Acc,3,4,Large-Cap,1.6084399999999999,8.26,12.52,9.0,15.82,2.03,5.93,0.0,1.88,0.02,8.33,120693367.0,2,10909.61917,4,0.45,1.06,87.62,18.33,0.18,2,2,3.0,0,15.81,2.03,1.46,11.88,2.17,11.51,-9.27,-6.12,2.03,-1.98,0.0,19,99.0,49.39,72.01,20.56,22.54,38.26,11.76,1.22,63.04,33.19,75.39,38.79,25.32,53.32,70.1,16.83,86.68,69.97,41.78,80.1,27.87,14.79,68.33,37.67,32.89,88.41,29.31,29.31,45.7,0,0,1,0,0
F00000SK3U,Liontrust MA UK Equity S Acc,3,4,Large-Cap,2.17469,8.51,12.68,9.33,16.5,2.85,6.83,0.0,0.9,0.02,8.33,120693367.0,2,10909.61917,4,1.24,1.06,87.62,18.35,0.23,2,2,3.0,1,15.81,2.03,1.46,11.88,2.17,11.51,-9.27,-6.12,2.03,-1.98,0.0,19,99.0,49.39,72.01,20.56,22.54,38.26,11.76,1.22,63.04,33.19,75.39,38.79,25.32,53.32,70.1,16.83,86.68,69.97,41.78,80.1,27.87,14.79,68.33,37.67,32.89,88.41,29.31,29.31,45.7,0,0,1,0,0
F0GBR053N0,Liontrust Sust Fut UK Gr 2 Net Acc,5,4,Flex-Cap,0.65032,6.95,12.04,7.66,22.81,9.38,12.56,0.0,0.87,0.08,20.33,1016105307.0,6,4132.7723399999995,2,7.45,1.01,81.82,17.99,0.57,2,3,3.0,0,19.95,2.76,2.27,22.09,1.4,7.6,-8.9,-8.77,-5.72,4.92,45.0,7,37.0,63.53,87.23,4.94,19.98,30.81,29.88,1.55,21.15,11.52,32.4,88.54,76.61,90.59,60.05,11.81,95.69,19.7,19.7,82.71,12.89,6.8,46.97,39.61,24.71,91.89,18.54,18.09,28.93,1,0,0,0,0
F0GBR06HWQ,Liontrust Sust Fut UK Gr 3 Net Acc,5,4,Flex-Cap,0.99236,7.06,12.27,7.86,23.32,9.86,13.04,0.0,0.45,0.08,20.33,1016105307.0,6,4132.7723399999995,2,7.9,1.01,81.78,17.99,0.59,2,3,3.0,0,19.95,2.76,2.27,22.09,1.4,7.6,-8.9,-8.77,-5.72,4.92,45.0,7,37.0,63.53,87.23,4.94,19.98,30.81,29.88,1.55,21.15,11.52,32.4,88.54,76.61,90.59,60.05,11.81,95.69,19.7,19.7,82.71,12.89,6.8,46.97,39.61,24.71,91.89,18.54,18.09,28.93,1,0,0,0,0
F00000P7AC,Liontrust UK Ethical 2 Net Acc,5,5,Flex-Cap,0.7783899999999999,8.41,14.82,9.53,26.09,11.25,13.57,0.0,0.82,0.02,8.58,866611261.0,6,3212.78874,3,9.0,1.12,85.11,19.67,0.61,2,3,3.0,1,21.65,2.76,2.12,22.05,1.37,7.92,0.07,-9.9,-7.99,4.38,39.0,7,37.0,72.96,91.59,0.0,19.56,34.63,34.94,0.88,22.85,12.35,39.83,88.53,54.91,88.53,68.3,7.7,96.96,22.28,22.28,88.38,8.1,4.51,60.61,42.5,21.53,90.16,15.73,15.73,30.59,1,0,0,0,0
F0GBR04S8U,M\u0026G Dividend GBP A Acc,2,2,Income,2.82768,8.55,15.3,14.22,19.56,1.62,3.95,0.0,1.18,0.09,2.33,1035329084.0,1,11477.3092,4,-0.46,1.13,92.32,19.09,0.14,3,1,3.0,0,11.34,1.59,1.09,7.11,3.95,9.25,-9.06,-7.71,3.66,-2.53,72.0,13,38.0,50.68,70.02,29.26,22.09,28.3,11.06,4.51,85.01,46.68,90.09,8.81,4.48,30.6,70.42,29.65,96.51,73.97,61.48,94.04,28.09,14.57,90.98,28.25,20.68,83.44,32.61,30.38,44.23,0,1,0,0,0
F00000OO5L,M\u0026G Dividend GBP I Acc,3,2,Income,3.2238,8.66,15.56,14.44,20.12,2.22,4.63,0.0,0.68,0.09,2.33,1035329084.0,1,11477.3092,4,0.13,1.13,92.33,19.09,0.17,3,1,3.0,1,11.34,1.59,1.09,7.11,3.95,9.25,-9.06,-7.71,3.66,-2.53,72.0,13,38.0,50.68,70.02,29.26,22.09,28.3,11.06,4.51,85.01,46.68,90.09,8.81,4.48,30.6,70.42,29.65,96.51,73.97,61.48,94.04,28.09,14.57,90.98,28.25,20.68,83.44,32.61,30.38,44.23,0,1,0,0,0
F00000OO5M,M\u0026G Dividend GBP R Acc,3,2,Income,3.02936,8.59,15.4,14.31,19.82,1.96,4.37,0.0,0.93,0.09,2.33,1035329084.0,1,11477.3092,4,-0.12,1.13,92.33,19.09,0.16,3,1,3.0,1,11.34,1.59,1.09,7.11,3.95,9.25,-9.06,-7.71,3.66,-2.53,72.0,13,38.0,50.68,70.02,29.26,22.09,28.3,11.06,4.51,85.01,46.68,90.09,8.81,4.48,30.6,70.42,29.65,96.51,73.97,61.48,94.04,28.09,14.57,90.98,28.25,20.68,83.44,32.61,30.38,44.23,0,1,0,0,0
F0GBR04JJG,M\u0026G Dividend GBP X Acc,2,2,Income,2.83237,8.55,15.31,14.22,19.56,1.62,3.95,0.0,1.18,0.09,2.33,1035329084.0,1,11477.3092,4,-0.46,1.13,92.32,19.09,0.14,3,1,3.0,1,11.34,1.59,1.09,7.11,3.95,9.25,-9.06,-7.71,3.66,-2.53,72.0,13,38.0,50.68,70.02,29.26,22.09,28.3,11.06,4.51,85.01,46.68,90.09,8.81,4.48,30.6,70.42,29.65,96.51,73.97,61.48,94.04,28.09,14.57,90.98,28.25,20.68,83.44,32.61,30.38,44.23,0,1,0,0,0
F0GBR04GHM,M\u0026G Equity Investment for Chrts GBP Acc,4,2,Income,4.00023,7.87,15.88,15.36,20.65,3.62,6.92,0.0,0.52,0.02,4.58,1005631970.0,4,9853.08637,2,1.43,1.07,92.86,17.92,0.24,3,1,3.0,0,11.76,1.49,1.09,7.31,3.67,9.96,-11.77,-8.86,2.88,-3.58,84.0,35,32.0,49.85,69.51,27.91,17.88,23.52,13.17,5.67,84.15,81.03,91.9,11.18,4.28,12.9,69.67,24.81,90.41,74.56,70.98,87.38,29.41,16.44,79.7,35.21,25.81,86.89,31.43,29.86,40.53,0,1,0,0,0
F0GBR04S9M,M\u0026G Index Tracker GBP A Acc,3,3,Large-Cap,2.16893,8.07,11.99,11.52,14.96,1.86,6.76,0.0,0.45,0.03,9.33,525859929.0,2,21911.04885,3,-0.35,1.04,96.0,17.1,0.15,3,3,3.0,0,14.03,1.79,1.56,10.24,2.4,13.32,-8.59,-8.2,0.1,-2.78,368.0,169,31.0,46.19,68.05,35.59,28.24,25.76,5.3,0.62,65.63,62.26,81.72,32.49,11.68,37.35,74.07,24.03,84.17,75.59,46.55,85.83,27.94,14.16,74.93,42.04,26.97,89.69,49.43,44.55,62.85,0,0,1,0,0
F0GBR04S95,M\u0026G Recovery GBP A Acc,1,1,Flex-Cap,0.20257,4.76,11.52,14.45,21.93,-3.77,3.87,0.0,1.32,-0.05,21.25,1642678855.0,4,4045.69931,4,-4.6,1.49,83.8,26.32,-0.02,3,3,3.0,0,11.93,1.36,1.31,6.67,1.33,23.78,-17.69,-12.66,-6.52,-6.45,77.0,4,41.0,50.62,71.94,15.44,23.1,24.42,24.34,12.92,75.96,61.45,93.18,77.82,33.82,85.89,39.26,15.18,97.8,72.59,42.0,97.26,6.34,2.01,13.24,55.74,19.03,92.91,15.66,14.0,25.06,1,0,0,0,0
F000005JRK,M\u0026G Recovery GBP I Acc,1,1,Flex-Cap,0.6018399999999999,4.86,11.77,14.66,22.5,-3.21,4.55,0.0,0.82,-0.05,21.25,1642678855.0,4,4045.69931,4,-4.02,1.49,83.81,26.32,0.0,3,3,3.0,1,11.93,1.36,1.31,6.67,1.33,23.78,-17.69,-12.66,-6.52,-6.45,77.0,4,41.0,50.62,71.94,15.44,23.1,24.42,24.34,12.92,75.96,61.45,93.18,77.82,33.82,85.89,39.26,15.18,97.8,72.59,42.0,97.26,6.34,2.01,13.24,55.74,19.03,92.91,15.66,14.0,25.06,1,0,0,0,0
F000013D2J,M\u0026G Recovery GBP PP Acc,1,1,Flex-Cap,0.76037,4.88,11.84,14.73,22.71,-3.08,4.63,0.0,0.62,-0.05,21.25,1642678855.0,4,4045.69931,4,-3.88,1.49,83.82,26.33,0.01,3,3,3.0,1,11.93,1.36,1.31,6.67,1.33,23.78,-17.69,-12.66,-6.52,-6.45,77.0,4,41.0,50.62,71.94,15.44,23.1,24.42,24.34,12.92,75.96,61.45,93.18,77.82,33.82,85.89,39.26,15.18,97.8,72.59,42.0,97.26,6.34,2.01,13.24,55.74,19.03,92.91,15.66,14.0,25.06,1,0,0,0,0
F00000OO8B,M\u0026G Recovery GBP R Acc,1,1,Flex-Cap,0.40293,4.8,11.64,14.55,22.2,-3.45,4.29,0.0,1.07,-0.05,21.25,1642678855.0,4,4045.69931,4,-4.26,1.49,83.8,26.32,-0.01,3,3,3.0,1,11.93,1.36,1.31,6.67,1.33,23.78,-17.69,-12.66,-6.52,-6.45,77.0,4,41.0,50.62,71.94,15.44,23.1,24.42,24.34,12.92,75.96,61.45,93.18,77.82,33.82,85.89,39.26,15.18,97.8,72.59,42.0,97.26,6.34,2.01,13.24,55.74,19.03,92.91,15.66,14.0,25.06,1,0,0,0,0
F0GBR04JI4,M\u0026G Recovery GBP X Acc,1,1,Flex-Cap,0.20257,4.76,11.53,14.45,21.93,-3.77,3.87,0.0,1.32,-0.05,21.25,1642678855.0,4,4045.69931,4,-4.6,1.49,83.8,26.32,-0.02,3,3,3.0,1,11.93,1.36,1.31,6.67,1.33,23.78,-17.69,-12.66,-6.52,-6.45,77.0,4,41.0,50.62,71.94,15.44,23.1,24.42,24.34,12.92,75.96,61.45,93.18,77.82,33.82,85.89,39.26,15.18,97.8,72.59,42.0,97.26,6.34,2.01,13.24,55.74,19.03,92.91,15.66,14.0,25.06,1,0,0,0,0
F0GBR04S97,M\u0026G Smaller Companies GBP A Acc,2,3,Mid_Small-Cap,0.0,14.82,24.32,16.68,40.34,8.12,11.87,0.0,1.35,0.12,10.42,320863140.0,9,866.079,3,1.28,0.89,87.31,22.79,0.49,3,3,3.0,0,19.44,2.32,1.64,15.64,0.84,14.44,12.9,-10.27,17.86,-2.5,73.0,5,24.0,62.92,79.55,0.0,0.0,16.06,66.91,15.44,16.0,10.56,40.39,91.78,72.22,95.08,24.42,5.82,97.5,17.25,6.32,40.95,9.36,2.19,36.38,38.93,26.43,97.46,4.6,3.1,6.71,0,0,0,1,0
F00000OO8D,M\u0026G Smaller Companies GBP I Acc,3,3,Mid_Small-Cap,0.23853000000000002,14.93,24.47,16.79,40.87,8.71,12.58,0.0,0.85,0.12,10.42,320863140.0,9,866.079,3,1.83,0.89,87.24,22.8,0.51,3,3,3.0,1,19.44,2.32,1.64,15.64,0.84,14.44,12.9,-10.27,17.86,-2.5,73.0,5,24.0,62.92,79.55,0.0,0.0,16.06,66.91,15.44,16.0,10.56,40.39,91.78,72.22,95.08,24.42,5.82,97.5,17.25,6.32,40.95,9.36,2.19,36.38,38.93,26.43,97.46,4.6,3.1,6.71,0,0,0,1,0
F00000OO8F,M\u0026G Smaller Companies GBP R Acc,3,3,Mid_Small-Cap,0.058120000000000005,14.86,24.32,16.66,40.51,8.44,12.3,0.0,1.11,0.12,10.42,320863140.0,9,866.079,3,1.58,0.89,87.24,22.79,0.5,3,3,3.0,1,19.44,2.32,1.64,15.64,0.84,14.44,12.9,-10.27,17.86,-2.5,73.0,5,24.0,62.92,79.55,0.0,0.0,16.06,66.91,15.44,16.0,10.56,40.39,91.78,72.22,95.08,24.42,5.82,97.5,17.25,6.32,40.95,9.36,2.19,36.38,38.93,26.43,97.46,4.6,3.1,6.71,0,0,0,1,0
F0GBR04JO9,M\u0026G Smaller Companies GBP X Acc,2,3,Mid_Small-Cap,0.0,14.82,24.23,16.59,40.23,8.08,11.85,0.0,1.35,0.12,10.42,320863140.0,9,866.079,3,1.24,0.89,87.27,22.8,0.49,3,3,3.0,1,19.44,2.32,1.64,15.64,0.84,14.44,12.9,-10.27,17.86,-2.5,73.0,5,24.0,62.92,79.55,0.0,0.0,16.06,66.91,15.44,16.0,10.56,40.39,91.78,72.22,95.08,24.42,5.82,97.5,17.25,6.32,40.95,9.36,2.19,36.38,38.93,26.43,97.46,4.6,3.1,6.71,0,0,0,1,0
F0GBR04S98,M\u0026G UK Select GBP A Acc,4,2,Large-Cap,0.9082100000000001,7.48,10.23,6.54,18.42,4.57,7.76,0.0,1.2,0.14,2.08,556768207.0,6,7414.8761700000005,3,2.9,0.96,87.97,16.62,0.33,3,3,3.0,0,21.77,3.14,3.24,18.5,1.56,13.82,-9.95,-3.4,15.38,2.24,43.0,6,32.0,60.25,87.63,21.4,12.82,42.47,20.64,0.0,16.31,16.31,85.57,72.18,24.21,76.37,64.44,27.37,96.55,26.62,17.84,75.27,20.77,6.56,63.57,48.69,21.6,90.32,23.49,21.8,36.0,0,0,1,0,0
F00000OO8L,M\u0026G UK Select GBP I Acc,5,2,Large-Cap,1.37212,7.58,10.47,6.74,18.98,5.18,8.47,0.0,0.7,0.14,2.08,556768207.0,6,7414.8761700000005,3,3.48,0.96,87.97,16.62,0.37,3,3,3.0,1,21.77,3.14,3.24,18.5,1.56,13.82,-9.95,-3.4,15.38,2.24,43.0,6,32.0,60.25,87.63,21.4,12.82,42.47,20.64,0.0,16.31,16.31,85.57,72.18,24.21,76.37,64.44,27.37,96.55,26.62,17.84,75.27,20.77,6.56,63.57,48.69,21.6,90.32,23.49,21.8,36.0,0,0,1,0,0
F00000OO8N,M\u0026G UK Select GBP R Acc,4,2,Large-Cap,1.14786,7.52,10.33,6.62,18.68,4.92,8.2,0.0,0.95,0.14,2.08,556768207.0,6,7414.8761700000005,3,3.23,0.96,87.98,16.62,0.35,3,3,3.0,1,21.77,3.14,3.24,18.5,1.56,13.82,-9.95,-3.4,15.38,2.24,43.0,6,32.0,60.25,87.63,21.4,12.82,42.47,20.64,0.0,16.31,16.31,85.57,72.18,24.21,76.37,64.44,27.37,96.55,26.62,17.84,75.27,20.77,6.56,63.57,48.69,21.6,90.32,23.49,21.8,36.0,0,0,1,0,0
F0GBR04JLW,M\u0026G UK Select GBP X Acc,4,2,Large-Cap,0.9082100000000001,7.48,10.23,6.54,18.42,4.57,7.76,0.0,1.2,0.14,2.08,556768207.0,6,7414.8761700000005,3,2.9,0.96,87.97,16.62,0.33,3,3,3.0,1,21.77,3.14,3.24,18.5,1.56,13.82,-9.95,-3.4,15.38,2.24,43.0,6,32.0,60.25,87.63,21.4,12.82,42.47,20.64,0.0,16.31,16.31,85.57,72.18,24.21,76.37,64.44,27.37,96.55,26.62,17.84,75.27,20.77,6.56,63.57,48.69,21.6,90.32,23.49,21.8,36.0,0,0,1,0,0
F00000VEBL,Majedie Asset Management UK Eq GBP A Acc,3,4,Large-Cap,0.0,8.56,13.21,11.38,18.72,0.11,5.2,0.0,1.65,0.25,7.25,57835299.0,5,9496.51425,3,-1.88,1.06,94.26,17.58,0.06,2,2,2.0,1,17.81,2.26,1.31,10.37,1.83,11.95,-2.53,-5.65,10.93,-2.44,75.0,3,35.0,51.4,74.89,18.78,27.11,33.41,13.62,2.13,33.57,33.57,95.34,64.99,17.5,67.82,73.77,9.84,94.6,57.2,29.25,87.21,26.81,11.55,43.24,43.79,20.3,81.42,27.66,27.46,47.94,0,0,1,0,0
F00000TULL,Majedie Asset Management UK Eq GBP Z Acc,3,4,Large-Cap,0.0,8.78,13.68,11.8,19.72,0.92,6.03,0.0,0.8,0.25,7.25,57835299.0,5,9496.51425,3,-1.08,1.06,94.26,17.59,0.1,2,2,2.0,1,17.81,2.26,1.31,10.37,1.83,11.95,-2.53,-5.65,10.93,-2.44,75.0,3,35.0,51.4,74.89,18.78,27.11,33.41,13.62,2.13,33.57,33.57,95.34,64.99,17.5,67.82,73.77,9.84,94.6,57.2,29.25,87.21,26.81,11.55,43.24,43.79,20.3,81.42,27.66,27.46,47.94,0,0,1,0,0
F00000VT25,Majedie Asset Management UK Income Z Acc,2,3,Income,0.0,8.4,10.15,9.33,14.42,-1.94,3.88,0.0,0.65,0.53,0.08,3524291.0,1,14514.893259999999,3,-4.4,1.1,94.23,18.4,-0.07,2,2,2.0,1,13.6,1.92,1.2,12.31,3.75,7.51,-8.16,-5.31,-2.94,1.39,31.0,2,45.0,50.98,73.25,30.07,19.42,35.3,8.17,0.0,83.78,76.65,96.97,10.61,4.11,27.03,93.34,14.22,93.61,76.34,17.1,82.39,78.45,13.22,79.8,47.59,19.0,88.04,35.7,28.16,46.58,0,1,0,0,0
F0GBR06M5A,Man GLG Income Professional Acc C,4,2,Income,4.24598,8.02,14.54,12.52,19.33,1.63,8.04,0.0,0.9,0.87,7.58,1780432513.0,4,8892.1822,5,-0.08,1.28,93.07,21.53,0.16,2,1,2.0,0,10.55,1.28,1.05,7.85,3.59,8.29,-9.1,-4.47,-1.34,1.39,70.0,7,29.0,58.03,80.25,20.28,25.87,35.95,11.81,1.91,90.1,57.89,91.14,8.47,5.22,43.44,78.83,16.42,92.95,22.05,10.23,42.2,29.27,7.02,70.38,27.49,21.06,85.76,26.75,17.4,37.24,0,1,0,0,0
F0GBR04S8K,Man GLG Income Retail Acc A,3,2,Income,4.263809999999999,7.84,14.13,12.14,18.45,0.88,7.3,5.0,1.65,0.87,7.58,1780432513.0,4,8892.1822,5,-0.82,1.28,93.13,21.52,0.13,2,1,2.0,0,10.55,1.28,1.05,7.85,3.59,8.29,-9.1,-4.47,-1.34,1.39,70.0,7,29.0,58.03,80.25,20.28,25.87,35.95,11.81,1.91,90.1,57.89,91.14,8.47,5.22,43.44,78.83,16.42,92.95,22.05,10.23,42.2,29.27,7.02,70.38,27.49,21.06,85.76,26.75,17.4,37.24,0,1,0,0,0
F00000QU2P,Man GLG Undervalued Assets Profl Acc C,2,1,Flex-Cap,1.1647100000000001,6.52,16.59,14.27,20.03,-0.92,7.43,0.0,0.9,0.5,7.58,1436591181.0,4,8209.35926,4,-2.27,1.46,90.02,24.86,0.07,2,2,2.0,0,10.97,1.25,1.26,8.59,2.04,9.97,-11.75,-8.33,-9.46,-1.69,64.0,5,32.0,59.89,85.32,22.54,19.36,35.68,15.24,1.11,85.67,66.02,88.33,30.77,13.24,71.99,60.96,7.34,95.26,34.26,11.73,57.12,19.15,4.39,39.12,45.66,21.92,87.75,24.32,13.87,29.33,1,0,0,0,0
F0GBR050JO,Marks \u0026 Spencer UK 100 Comp Acc,2,2,Large-Cap,1.8854099999999998,7.03,9.8,10.28,13.37,0.71,5.92,0.0,1.1,0.2,26.08,264225666.0,2,34169.69588,4,-1.51,1.04,92.84,17.38,0.08,2,3,3.0,0,14.02,1.51,1.29,8.66,2.99,15.98,-7.27,-8.22,-2.41,-2.49,99.0,31,39.0,51.53,71.59,46.6,31.34,19.85,0.0,0.0,68.5,66.21,83.36,23.94,6.53,25.53,75.99,20.83,84.7,89.72,69.13,90.0,29.98,18.38,89.83,43.36,26.13,92.04,70.66,62.81,87.55,0,0,1,0,0
F00000MJ6K,Marlborough Multi Cap Income A Acc,2,4,Income,3.37415,12.69,16.94,13.65,21.88,2.13,4.69,5.25,1.65,0.46,10.0,1176049414.0,8,1605.07952,4,0.31,1.15,85.65,20.05,0.17,3,3,2.0,0,14.84,1.88,1.22,8.65,3.09,10.26,-8.38,-0.6,13.37,3.93,113.0,8,29.0,53.2,69.49,2.27,4.28,40.12,28.13,17.24,55.86,31.23,78.81,20.12,12.68,39.01,58.46,7.85,98.49,21.95,11.43,57.76,25.95,5.03,44.54,65.72,40.82,94.33,9.48,5.83,13.5,0,1,0,0,0
F00000NMF9,Marlborough Multi Cap Income B Acc,2,4,Income,3.3596199999999996,12.83,17.23,13.89,22.51,2.64,5.21,5.0,1.15,0.46,10.0,1176049414.0,8,1605.07952,4,0.81,1.15,85.66,20.06,0.2,3,3,2.0,1,14.84,1.88,1.22,8.65,3.09,10.26,-8.38,-0.6,13.37,3.93,113.0,8,29.0,53.2,69.49,2.27,4.28,40.12,28.13,17.24,55.86,31.23,78.81,20.12,12.68,39.01,58.46,7.85,98.49,21.95,11.43,57.76,25.95,5.03,44.54,65.72,40.82,94.33,9.48,5.83,13.5,0,1,0,0,0
F00000PBFB,Marlborough Multi Cap Income P Acc,3,4,Income,3.35365,12.9,17.38,14.02,22.79,2.89,5.46,1.0,0.9,0.46,10.0,1176049414.0,8,1605.07952,4,1.05,1.15,85.65,20.06,0.21,3,3,2.0,1,14.84,1.88,1.22,8.65,3.09,10.26,-8.38,-0.6,13.37,3.93,113.0,8,29.0,53.2,69.49,2.27,4.28,40.12,28.13,17.24,55.86,31.23,78.81,20.12,12.68,39.01,58.46,7.85,98.49,21.95,11.43,57.76,25.95,5.03,44.54,65.72,40.82,94.33,9.48,5.83,13.5,0,1,0,0,0
F00000O7XO,Merian UK Equity Income I GBP Acc,3,1,Income,2.87994,7.71,19.09,16.56,27.84,3.21,6.44,0.0,0.9,0.09,4.5,43227665.0,4,9547.744,5,1.19,1.32,91.68,22.24,0.22,2,1,3.0,1,12.23,1.4,0.98,7.46,3.07,10.06,-7.79,-8.38,-1.61,-1.7,45.0,1,37.0,48.45,68.98,19.55,28.67,35.04,11.58,4.1,84.17,77.29,91.94,22.15,5.32,28.93,34.0,31.38,93.39,86.62,55.21,90.98,18.04,6.9,69.97,19.27,11.87,85.34,26.57,24.35,61.9,0,1,0,0,0
F0GBR04E51,Merian UK Equity Income L GBP Acc,3,1,Income,2.8923099999999997,7.49,18.63,16.16,26.85,2.45,5.65,4.0,1.65,0.09,4.5,43227665.0,4,9547.744,4,0.43,1.32,91.74,22.21,0.18,2,1,3.0,0,12.23,1.4,0.98,7.46,3.07,10.06,-7.79,-8.38,-1.61,-1.7,45.0,1,37.0,48.45,68.98,19.55,28.67,35.04,11.58,4.1,84.17,77.29,91.94,22.15,5.32,28.93,34.0,31.38,93.39,86.62,55.21,90.98,18.04,6.9,69.97,19.27,11.87,85.34,26.57,24.35,61.9,0,1,0,0,0
F00000O7XM,Merian UK Equity Income P GBP Acc,3,1,Income,2.8849400000000003,7.63,18.95,16.4,27.49,2.99,6.2,4.0,1.15,0.09,4.5,43227665.0,4,9547.744,4,0.96,1.32,91.77,22.23,0.21,2,1,3.0,0,12.23,1.4,0.98,7.46,3.07,10.06,-7.79,-8.38,-1.61,-1.7,45.0,1,37.0,48.45,68.98,19.55,28.67,35.04,11.58,4.1,84.17,77.29,91.94,22.15,5.32,28.93,34.0,31.38,93.39,86.62,55.21,90.98,18.04,6.9,69.97,19.27,11.87,85.34,26.57,24.35,61.9,0,1,0,0,0
F00000T1N4,Merian UK Equity Income U1 GBP Acc,3,1,Income,2.8797900000000003,7.78,19.19,16.59,27.98,3.31,6.53,0.0,0.83,0.09,4.5,43227665.0,4,9547.744,4,1.26,1.32,91.77,22.21,0.22,2,1,3.0,0,12.23,1.4,0.98,7.46,3.07,10.06,-7.79,-8.38,-1.61,-1.7,45.0,1,37.0,48.45,68.98,19.55,28.67,35.04,11.58,4.1,84.17,77.29,91.94,22.15,5.32,28.93,34.0,31.38,93.39,86.62,55.21,90.98,18.04,6.9,69.97,19.27,11.87,85.34,26.57,24.35,61.9,0,1,0,0,0
