SecId,Name,StarRatingM255,SustainabilityRank,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous,Size,Style
F0000020ID,Invesco UK Eq High Inc UK (No Trail) Acc,1,3,3.49125,-0.17,-0.42,7.54,10.25,8.33,15.16,-7.09,5.0,1.38,1.06,1.08,3284787023.0,12260.16471,4,-8.93,1.21,86.55,21.06,-0.27,3,1,3.0,0,0,1,0,0,0,1,2
F0GBR05Z1J,BGF Continental Eurp Flex A2,5,4,0.0,1.84,7.63,12.01,19.44,15.3,50.69,17.15,5.0,1.82,0.64,2.33,6153139600.0,28361.4134,3,6.52,1.02,89.11,17.1,0.93,3,1,3.0,0,0,0,0,0,1,1,3
F00000QHNM,Barings European Opps A EUR Acc,2,4,0.0,-0.01,4.15,6.94,21.83,15.09,37.25,7.42,5.0,1.95,0.24,7.67,525602.0,3891.3376299999995,4,-1.35,1.02,96.9,18.7,0.43,3,3,3.0,0,0,0,0,1,0,2,3
F00000Y8IA,Arctic Norwegian Value Creation D,3,3,0.0,-0.5,0.77,5.45,19.1,14.54,37.29,9.18,0.0,1.85,0.03,6.83,297066685.0,2339.20876,3,-0.46,1.07,92.65,25.87,0.36,2,2,2.0,0,0,0,0,0,1,2,2
F0GBR054VC,Janus Henderson European Gr I Acc,4,3,1.17524,1.51,3.97,8.46,11.64,10.65,25.17,6.66,0.0,0.86,0.26,19.92,887554185.0,22910.498,3,-2.31,1.05,93.32,16.6,0.44,3,3,3.0,0,0,0,0,0,1,1,2
F0000108X4,Jupiter Global Value Equity Instl Acc,2,2,0.90081,0.94,0.56,10.05,19.48,19.39,29.57,4.27,2.32,0.93,0.14,3.25,286222765.0,5395.8989,3,-7.52,1.1,85.1,16.94,0.29,3,3,3.0,0,1,0,0,0,0,2,1
F00000WZIZ,Franklin UK Mid Cap S Acc,4,5,0.67718,0.54,2.29,13.14,21.09,15.5,25.69,5.08,0.0,0.62,0.22,9.67,1143448236.0,2073.79581,4,0.79,1.04,95.61,23.39,0.31,3,3,3.0,1,0,0,0,1,0,2,2
F00000XIZ6,CAF UK Equitrack I Acc,3,3,2.5867400000000003,0.0,0.07,8.04,12.02,11.57,15.54,2.16,0.0,1.2,0.2,7.75,164323165.0,22105.25779,3,-0.08,1.04,97.28,17.04,0.16,3,3,3.0,0,0,0,1,0,0,1,2
F0GBR04F8W,Carmignac L-S Eurp Eqs A EUR Acc,3,5,0.0,0.7,0.92,3.06,6.18,3.84,10.73,2.82,4.0,2.92,0.18,6.25,290106001.0,17663.36985,3,2.0,0.15,10.72,9.25,0.21,3,3,3.0,0,0,0,0,0,1,1,3
F0GBR04RYY,ASI UK High Alpha Equity I Acc,2,1,1.97685,0.09,-0.26,6.28,14.74,12.29,18.97,-1.71,0.0,0.86,0.15,3.17,90462443.0,13324.85809,4,-3.38,1.31,90.11,22.28,0.01,2,3,3.0,0,1,0,0,0,0,1,2
F00000MBOY,Allianz Global Metals and Mining IT EUR,3,3,0.0,-0.96,-3.01,8.63,21.96,21.43,47.4,7.96,2.0,0.96,0.14,7.67,826391587.0,17260.33074,4,4.55,1.12,84.3,24.6,0.43,3,1,3.0,0,0,0,0,0,1,1,1
F000000R69,Invesco European Focus UK Acc,1,4,0.82989,1.33,4.91,9.28,16.41,14.92,38.31,6.34,0.0,1.64,0.88,2.25,28146799.0,21652.41247,3,-3.34,0.92,84.15,18.95,0.35,3,3,3.0,0,0,0,0,1,0,1,1
F00000W9RL,ASI European Real Estate Share A Acc,4,4,2.74032,2.06,8.03,14.21,9.12,6.82,18.68,7.83,0.0,1.33,0.09,5.83,111267857.0,4534.26545,3,3.57,0.9,94.69,15.62,0.51,2,3,3.0,1,0,0,0,0,1,2,2
F0GBR06XFS,Threadneedle Pan Eurp Focus Ins Acc GBP,4,5,0.0,-0.09,4.5,7.41,10.12,8.42,24.62,14.66,0.0,1.08,1.91,6.75,81582717.0,23317.478059999998,4,4.04,0.99,90.31,13.76,1.09,3,3,3.0,0,0,0,1,0,0,1,3
F0GBR06FNX,SVM UK Opportunities Instl,4,1,0.0,-0.08,0.78,10.8,24.99,21.55,43.28,6.39,1.0,0.94,0.78,15.42,183749645.0,2960.06927,4,5.22,1.53,88.72,26.34,0.36,2,3,3.0,0,1,0,0,0,0,2,2
F00000P8DK,ASI European Smaller Companies I Acc,5,3,0.23365,1.43,6.09,13.93,16.35,12.46,40.54,13.88,0.0,0.87,0.04,2.92,81609849.0,2969.3041,2,6.63,0.87,86.07,18.88,0.79,2,3,3.0,1,0,0,0,1,0,2,3
F00000QJ55,iShares 350 UK Equity Index (UK) A Acc,3,3,2.08272,0.0,0.0,7.93,11.55,11.22,14.89,1.44,5.0,0.51,0.09,5.25,1075558321.0,23660.6426,3,-0.77,1.04,97.14,17.08,0.12,3,1,3.0,0,0,0,1,0,0,1,2
F00000NE6O,Janus Henderson Hrzn Pan Eurp Eq A2 USD,3,3,0.0,2.36,6.43,7.82,17.57,11.64,39.18,11.05,5.0,1.88,0.34,4.5,588367610.0,19461.357669999998,3,1.79,1.0,94.21,15.67,0.56,3,3,3.0,0,0,0,1,0,0,1,2
F00000QJGT,Nordea 1 - Nordic Equity Small Cp BC EUR,4,4,0.0,-0.45,3.07,8.6,20.77,13.16,55.19,20.11,5.0,1.39,0.24,14.42,134037160.0,969.3946300000001,2,5.0,0.93,93.19,20.31,0.97,3,3,3.0,0,0,0,0,1,0,3,2
F00000YENN,CPR Invest Climate Action Euro R EUR Acc,2,3,0.0,0.08,1.97,7.86,15.09,13.03,26.25,4.7,5.0,1.22,0.08,2.5,38365369.0,32645.86523,3,-2.74,1.02,97.26,15.91,0.28,3,3,3.0,0,0,0,1,0,0,1,2
F00000R6QK,DNCA Euro Value Equity I/A EUR,2,2,0.0,0.79,3.33,9.81,17.67,17.53,33.37,5.2,0.0,1.21,0.08,7.58,37754918.0,12168.8363,5,-3.02,1.17,96.97,21.54,0.27,3,3,3.0,1,0,0,1,0,0,1,2
F0GBR04C1G,GAM Multistock Swiss Equity CHF B,4,1,0.0,1.73,8.62,12.64,22.07,16.87,32.72,13.63,5.0,1.5,0.03,15.08,176391471.0,16101.822409999999,5,-0.73,1.13,79.94,13.58,1.0,2,3,3.0,0,0,0,0,0,1,1,3
F00000WB5V,JPM UK Equity Plus C Net Acc,5,1,1.8865599999999998,-0.24,0.93,11.94,17.59,16.0,21.54,4.05,0.0,0.83,1.06,5.75,109798088.0,15286.624240000001,3,2.23,1.04,91.18,17.63,0.29,3,3,3.0,0,0,0,1,0,0,1,2
F000002KDL,JPM UK Equity Growth A Net Acc,4,3,0.8157300000000001,0.0,0.47,10.7,17.75,14.38,25.31,4.17,0.0,1.54,0.86,11.08,191182116.0,8911.36114,2,2.39,1.0,86.9,17.31,0.3,3,3,3.0,0,1,0,0,0,0,2,2
F0GBR04IMN,GAM Multistock Swiss Equity CHF C,5,1,0.0,1.74,8.68,12.85,22.53,17.26,33.71,14.49,5.0,0.75,0.03,15.08,176391471.0,16101.822409999999,5,0.02,1.13,79.95,13.59,1.06,2,3,3.0,0,0,0,0,0,1,1,3
F0GBR04NOG,AXAWF Fram Europe Opps F Cap EUR,4,3,0.0,1.22,5.45,9.61,19.25,17.25,30.98,7.2,2.0,1.02,0.31,17.08,388102521.0,44299.18474,3,-0.13,0.99,96.7,15.78,0.43,3,3,3.0,0,0,0,1,0,0,1,2
F0000023MU,Dimensional European Value B EUR,3,1,0.0,0.35,4.72,8.4,24.67,22.31,48.07,4.09,0.0,0.46,0.35,13.75,84692324.0,30112.639619999998,4,1.76,1.1,97.37,21.57,0.23,2,2,3.0,0,0,0,1,0,0,1,1
F00000OJM7,iShares Mid Cap UK Equity Idx (UK) D Acc,3,4,1.3666200000000002,0.08,1.06,9.48,16.56,12.44,27.46,5.04,0.0,0.17,0.29,5.25,690113414.0,3231.49155,3,0.83,0.94,97.84,21.01,0.32,3,1,3.0,0,0,0,0,1,0,2,2
F00000OO8D,M\u0026G Smaller Companies GBP I Acc,3,3,0.23853000000000002,-2.11,0.48,14.93,24.47,16.79,40.87,8.71,0.0,0.85,0.12,10.42,320863140.0,866.079,3,1.83,0.89,87.24,22.8,0.51,3,3,3.0,1,0,0,0,1,0,3,3
FOGBR05KLT,Fidelity France A-Acc-EUR,1,4,0.0,1.15,4.61,9.29,31.67,25.73,68.24,-0.7,5.25,1.95,-0.04,3.75,55061692.0,4410.3960799999995,5,-3.72,1.22,88.63,27.85,0.05,3,3,3.0,0,0,0,0,1,0,2,1
F00000YXCI,CRUX (Lux) Pan-European Gr Fd € A Acc,4,1,0.0,2.01,3.0,4.9,15.55,10.97,31.54,10.8,0.0,1.9,0.05,3.25,12497517.0,7266.352059999997,5,2.49,1.16,86.93,19.22,0.56,2,2,2.0,0,0,0,1,0,0,2,3
F0GBR055SK,JPM Europe Dynamic (ex-UK) A Net Acc,3,2,0.5453899999999999,1.07,6.97,13.1,18.58,14.89,35.11,7.45,0.0,1.58,1.67,14.25,507693188.0,23146.37238,4,-2.33,1.15,95.77,18.1,0.46,3,3,3.0,0,0,0,0,0,1,1,2
F0000005ZF,Aegon UK Opportunities GBP A Acc,3,2,0.28917,0.11,0.72,9.21,13.05,9.21,22.65,5.97,2.5,1.54,0.23,14.25,145494618.0,3861.84031,3,4.6,1.02,75.98,18.91,0.39,2,3,3.0,0,1,0,0,0,0,2,3
FOGBR05KLX,Fidelity Iberia A-Acc-EUR,5,4,0.0,2.02,2.69,6.73,11.57,9.29,23.34,1.75,5.25,1.94,0.13,3.25,188114680.0,10799.299079999999,1,0.99,0.76,89.12,17.66,0.16,3,3,3.0,0,0,0,0,0,1,1,2
F0GBR0549B,ASI UK Opportunities Equity I Acc,2,2,0.12028,-0.3,2.58,14.93,16.27,11.37,30.72,7.22,0.0,0.86,0.11,5.42,173822693.0,1794.0401399999994,4,1.19,0.75,64.23,22.3,0.43,2,3,3.0,0,0,0,0,1,0,2,3
F00000W0YB,Brook European Focus A EUR Acc,3,1,0.0,-0.19,1.89,8.61,25.7,24.92,48.21,9.51,5.0,1.25,0.34,6.0,481591892.0,18125.58778,5,0.84,1.22,73.28,22.43,0.43,2,2,2.0,1,0,0,1,0,0,1,1
F000010SV4,Aptus Global Financials A GBP Acc,2,2,5.99598,-0.75,1.74,10.09,26.84,22.41,56.97,2.3,2.32,1.17,1.11,8.58,77183230.0,5390.9643799999985,5,-4.3,1.31,83.24,31.31,0.24,2,2,2.0,0,0,0,0,0,1,2,1
F0GBR04S9C,M&G Pan Eurp Sel Smllr Coms GBP A Acc,2,2,0.0,0.87,5.02,9.85,20.58,13.36,50.56,5.71,0.0,1.34,0.06,5.5,147085870.0,2096.75138,3,-2.56,1.03,93.9,21.16,0.35,3,3,3.0,0,0,0,0,1,0,2,3
F00000TQMJ,TM UBS (UK) - UK Eq F Acc,2,4,0.5797899999999999,0.24,1.47,8.69,12.69,10.12,15.34,1.13,5.25,1.02,0.28,9.08,154906831.0,16172.22236,2,-1.29,1.01,95.65,16.69,0.09,2,1,3.0,0,0,0,1,0,0,1,2
F0GBR04S31,Aviva Investors UK Lstd S\u0026M Cap1 GBP Acc,4,5,0.24558000000000002,-0.13,2.51,14.25,25.73,19.48,46.41,10.91,0.0,1.0,0.16,5.42,228918900.0,1914.63398,4,9.19,1.37,83.16,24.34,0.53,2,2,3.0,0,1,0,0,0,0,2,3
F0GBR04S54,JPM UK Equity Value A Net Acc,2,2,1.84077,-0.1,-0.4,9.14,21.51,19.1,27.94,0.32,0.0,1.28,0.39,11.08,59098073.0,8895.74745,4,-1.23,1.4,93.81,23.36,0.11,3,1,3.0,0,1,0,0,0,0,2,1
F00000IRT3,Janus Henderson Hrzn European Gr A2 EUR,3,3,0.0,1.44,4.21,8.04,19.04,15.43,29.44,6.42,5.0,1.95,0.28,11.0,48848575.0,22860.73116,3,-3.36,1.04,93.83,16.31,0.37,3,3,3.0,0,0,0,0,0,1,1,2
F00000ZJLW,Man GLG RI Sust Eurp Inc D C EUR,3,3,0.0,1.24,0.81,6.58,10.75,10.16,18.63,5.0,0.0,1.71,0.29,3.75,56037020.0,29414.6773,4,-1.13,1.07,90.72,18.46,0.27,2,1,2.0,1,0,1,0,0,0,1,2
F00000YIFV,BL-European Small \u0026 Mid Caps BM EUR,4,3,0.0,0.66,4.51,13.15,18.46,14.19,37.6,11.71,5.0,1.09,0.17,8.58,231522731.0,3723.28155,1,4.44,0.76,81.23,16.74,0.68,3,3,3.0,0,0,0,0,1,0,2,3
F000000ECJ,BGF European Special Situations D2,5,4,0.0,2.11,7.69,11.9,17.72,13.57,34.93,13.4,5.2632,1.07,0.2,0.25,1185509222.0,20589.30162,4,-0.23,1.12,94.49,15.08,0.81,3,1,3.0,0,0,0,1,0,0,1,3
F0GBR050J6,Marks \u0026 Spencer UK Selection Acc,1,2,1.66795,0.03,0.11,4.14,10.81,10.2,13.77,-0.9,0.0,1.4,0.26,4.58,97883420.0,21278.81816,5,-2.66,1.3,89.83,22.16,0.04,2,1,3.0,0,0,0,1,0,0,1,1
F0GBR04E06,Santander UK Growth RA Acc,3,2,2.4459999999999997,-0.06,0.6,10.75,19.23,14.24,24.76,6.09,0.0,0.66,0.16,0.67,943200244.0,6483.45547,3,4.17,1.18,88.51,20.25,0.37,2,3,2.0,0,1,0,0,0,0,2,2
F000002RCJ,Bellevue(Lux) BB Entrepr. Europe I EUR,3,4,0.0,0.79,1.79,8.33,18.19,16.09,34.7,4.66,5.0,1.54,0.23,12.17,51061058.0,10437.29098,3,-3.06,1.11,91.33,18.06,0.27,2,3,2.0,0,1,0,0,0,0,1,2
F00000OP3E,AXA Framlington UK Select Opps Z Acc,3,2,0.85139,-0.31,1.75,9.7,13.93,9.08,17.77,3.83,0.0,0.93,0.15,2.42,1056093197.0,5718.99324,2,2.23,1.04,84.11,18.4,0.28,2,3,3.0,1,1,0,0,0,0,2,2
F00000QTLT,L&G European Index C Acc,3,3,1.496,1.6,5.68,10.06,11.3,10.24,25.4,9.0,0.0,0.1,0.01,7.75,3484948460.0,36768.70212,3,-0.48,1.05,98.23,16.28,0.56,3,3,3.0,0,0,0,0,0,1,1,2
F0GBR06XGA,Threadneedle UK Extnd Alpha Ins Acc GBP,3,3,1.72715,0.25,0.38,7.55,13.69,11.95,17.83,2.86,0.0,0.83,0.4,10.58,120941520.0,16848.93385,4,0.55,1.23,93.65,20.49,0.19,3,3,3.0,0,0,0,1,0,0,1,1
F0GBR06A4M,Digital Stars Europe Acc,5,2,0.0,0.63,3.64,13.73,26.95,20.76,47.87,11.84,5.0,1.63,0.53,19.92,687433191.0,4439.22332,3,4.34,0.99,81.58,17.17,0.66,3,3,3.0,0,1,0,0,0,0,2,3
F00000OS8P,SKAGEN m2 A,4,1,0.0,1.5,9.25,17.09,14.86,13.53,15.64,9.0,3.0,1.5,0.1,8.67,146297938.0,3182.74312,3,0.6,0.91,88.35,15.63,0.33,3,3,2.0,0,0,0,0,0,1,2,2
F0GBR06L2K,Santander Europe (Excluding UK) Eqs A,3,3,1.4509299999999998,1.17,5.41,11.52,14.28,13.16,29.51,8.09,0.0,0.76,0.06,2.75,71714677.0,25605.18868000001,4,-1.94,1.12,98.26,17.21,0.48,2,1,2.0,0,0,0,0,0,1,1,2
F00000Y4KZ,Wellington Eurp Contrarian Val € DAccUnH,1,2,0.0,0.34,4.23,9.23,29.29,27.21,53.69,2.76,5.0,1.7,0.19,4.58,8328663.0,11405.88668,5,-6.92,1.51,90.44,24.73,0.17,2,3,3.0,0,1,0,0,0,0,1,1
F00000OOAU,HSBC FTSE All Share Index C Acc,3,3,2.60256,0.05,0.13,8.17,12.12,11.67,16.39,2.2,0.0,0.06,0.22,4.75,1853876159.0,22365.71098,3,-0.18,1.04,96.7,17.14,0.16,2,3,3.0,1,0,0,1,0,0,1,1
F0GBR04AFY,Schroder ISF EURO Equity A Acc EUR,3,2,0.0,0.56,6.38,9.86,19.76,16.59,31.31,4.71,5.0,1.84,0.66,11.08,2427826794.0,12968.6661,4,-2.79,1.02,92.82,19.18,0.25,2,3,3.0,1,0,0,1,0,0,1,2
F000000KDB,Fidelity Italy Y-Acc-EUR,3,2,0.0,1.16,7.65,9.91,26.23,23.49,48.08,7.29,0.0,1.08,0.58,3.25,257605797.0,7240.95825,3,-0.22,0.93,96.0,21.01,0.38,3,3,3.0,0,0,0,0,0,1,2,2
F00000LWVH,Vanguard FTSE UK All Shr Idx Unit Tr£Acc,3,3,2.63287,-0.21,0.04,6.67,11.59,12.07,16.75,1.87,0.0,0.06,0.03,11.5,13498012147.0,22174.50207,2,-0.27,0.99,99.67,16.05,0.15,2,2,3.0,0,0,0,1,0,0,1,2
F0GBR04EM0,HSBC GIF Europe Value AC,2,2,0.0,0.5,2.79,6.34,19.28,17.08,34.96,3.01,5.0,1.85,0.11,4.92,63833155.0,27360.22503,3,0.69,1.04,97.46,20.54,0.18,2,3,3.0,0,0,0,1,0,0,1,1
F000000NTM,ASI Europe ex UK Ethical Equity I Acc,4,5,0.7965899999999999,1.24,4.02,7.28,8.44,6.48,28.16,10.59,0.0,0.86,0.07,3.17,291808940.0,22353.04735,4,2.02,1.02,90.26,16.96,0.67,2,3,3.0,0,0,0,0,0,1,1,3
F0GBR04DHW,BMO Responsible UK Equity 1 Acc,3,4,0.14894000000000002,0.41,2.1,12.44,15.5,12.89,21.53,4.68,5.0,1.71,0.23,12.0,515066873.0,7217.051429999998,3,2.8,1.08,87.83,18.55,0.31,2,2,2.0,0,1,0,0,0,0,2,2
F00000Q9WX,State Street Eurozone Value Spotlight B,4,2,0.0,0.43,2.26,8.92,22.28,20.08,37.22,6.15,0.0,0.1,0.29,0.17,99579926.0,15948.801969999999,4,-1.82,1.17,94.96,21.27,0.33,3,3,3.0,0,1,0,0,0,0,1,1
F000010AIS,Nordea 1 - Nordic Stars Equity BC GBP,3,3,0.0,0.89,5.9,7.6,7.08,4.44,33.47,13.96,5.0,1.15,0.27,5.42,170976390.0,8345.64943,3,-0.84,1.1,87.65,17.57,0.79,3,3,3.0,0,0,0,0,0,1,2,3
F00000PTAQ,Schroder UK Alpha Income C Acc,3,4,3.15131,-0.38,0.43,9.82,14.65,12.02,25.09,2.33,0.0,1.0,0.36,1.25,101379124.0,9888.61203,3,0.34,1.17,92.04,19.76,0.18,2,1,3.0,0,0,1,0,0,0,1,1
F00000YBS8,Uni-Global Equities Eurozone SA-EUR,2,5,0.0,0.35,2.01,7.98,12.53,11.59,17.41,3.29,4.0,1.5,-0.12,4.5,52574853.0,25286.06991,1,-2.1,0.75,91.81,13.85,0.22,3,3,3.0,0,0,0,1,0,0,1,2
F00000XUIV,VT Cape Wrath Focus GBP A Net Acc,1,3,1.999,1.01,1.81,7.44,26.54,28.54,52.02,7.58,0.0,0.4,1.61,4.67,8875345.0,754.9491,5,-2.69,1.31,88.53,33.3,0.36,2,2,2.0,0,0,0,0,1,0,3,1
F0000027AJ,L\u0026G UK Special Situations I Acc,2,3,0.85046,0.41,1.67,10.35,18.65,15.82,24.09,-2.6,0.0,0.79,0.42,2.42,163908428.0,7868.67408,4,-4.45,1.44,90.31,24.46,-0.02,3,3,3.0,0,1,0,0,0,0,2,2
F00000YFOR,BL-European Family Businesses B EUR,3,2,0.0,0.97,3.61,10.11,16.07,12.53,30.16,5.65,5.0,1.58,0.15,4.5,111474022.0,5224.7654,2,-0.59,0.89,83.04,15.41,0.36,3,3,3.0,0,0,0,1,0,0,2,3
F00000MEQ8,BlackRock Continental Eurp Inc A Acc,3,3,2.37151,1.93,3.72,6.6,6.42,5.01,20.19,8.97,5.0,1.68,0.26,10.08,1762210116.0,33471.24661,2,0.89,0.91,93.94,14.6,0.62,3,1,3.0,0,0,0,0,0,1,1,2
F000014XXD,Artemis UK Special Situations C Acc,2,2,0.97041,0.2,0.59,10.98,18.35,15.59,35.69,6.01,0.0,1.31,0.17,21.25,650270549.0,6284.21925,3,4.4,1.39,90.93,23.51,0.35,3,3,3.0,1,1,0,0,0,0,2,2
F0GBR052I8,Schroder ISF European Lrg Cap I Acc EUR,4,2,0.0,0.63,6.12,7.85,17.86,14.19,31.64,7.46,0.0,0.06,0.52,6.42,421573883.0,22131.891480000002,4,-0.56,1.05,93.9,16.63,0.41,2,3,3.0,1,0,0,1,0,0,1,2
F00000QJXS,Lazard European Equity A Acc EUR,3,4,0.0,0.71,5.45,9.42,16.87,13.83,33.63,8.24,0.0,1.38,0.32,13.25,15051167.0,30375.618319999998,3,-1.75,1.05,97.21,16.61,0.47,3,3,3.0,0,0,0,0,0,1,1,2
F0GBR04RZG,Fidelity European Acc,4,4,0.29485,2.26,5.69,10.86,9.89,9.39,19.29,10.37,0.0,1.66,0.03,11.5,3027893962.0,49526.569339999995,1,2.12,0.89,95.54,13.98,0.72,3,3,3.0,0,0,0,0,0,1,1,3
F0000000K1,Allianz Euroland Equity Growth AT EUR,5,5,0.0,2.18,6.07,9.6,15.7,12.08,31.13,9.96,5.0,1.85,0.03,4.0,1678965071.0,21735.52963,3,3.62,0.9,86.07,17.96,0.57,3,1,3.0,1,0,0,1,0,0,1,3
F0GBR04S2B,Aviva Investors Contnn Eurp Eq 1 GBP Acc,3,3,0.47726,1.17,4.46,8.57,9.5,8.37,24.22,4.15,0.0,1.0,0.17,1.0,163635220.0,39253.44341,4,-5.24,1.16,95.82,18.48,0.3,2,1,3.0,0,0,0,0,0,1,1,2
F0GBR06C3N,SEB Sustainability Nordic C EUR,3,3,0.0,0.79,3.22,9.53,22.05,17.09,43.39,14.47,1.0,1.35,0.02,10.33,233377927.0,16196.5088,4,-3.62,1.29,93.56,18.57,0.73,2,2,2.0,0,0,0,0,0,1,1,2
F0GBR04F8U,Carmignac Euro-Entrepreneurs A EUR Acc,3,3,0.0,1.35,1.92,6.91,17.33,10.43,35.75,8.51,4.0,2.1,0.1,7.42,172010064.0,3591.103010000001,5,-1.89,1.14,91.83,22.43,0.4,3,3,3.0,0,0,0,0,1,0,2,3
F000001W23,HSBC GIF Europe Value IC,3,2,0.0,0.51,2.87,6.57,19.78,17.52,36.1,3.88,5.0,1.0,0.11,4.92,63833155.0,27360.22503,3,1.54,1.04,97.46,20.55,0.22,2,3,3.0,0,0,0,1,0,0,1,1
F00000VDJW,HL Multi-Manager Income \u0026 Growth M Acc,2,4,2.71141,0.41,0.65,8.51,13.66,12.41,20.43,-0.77,5.0,1.24,0.15,18.75,2447548908.0,8310.22388,3,-2.57,1.14,92.5,19.1,0.03,2,1,2.0,0,0,1,0,0,0,2,1
F0GBR04NA1,Janus Henderson UK Alpha A Acc,2,3,0.2602,0.47,1.29,12.41,20.1,14.5,28.34,2.96,5.25,1.7,0.23,12.17,391513752.0,3361.2163,4,0.95,1.31,88.37,22.55,0.2,3,3,3.0,0,1,0,0,0,0,2,3
F0GBR04AFC,Schroder ISF Swiss Equity A Acc CHF,2,2,0.0,1.31,7.63,9.09,17.56,13.53,28.32,10.34,5.0,1.6,0.08,13.42,196780607.0,24138.422019999998,4,-3.55,1.09,88.6,11.76,0.87,2,3,3.0,0,0,0,0,0,1,1,2
F0GBR05VWF,JPM Europe Strategic Value A (acc) EUR,2,2,0.0,0.12,2.7,7.8,24.29,21.39,36.9,1.15,5.0,1.74,0.47,17.42,1669642096.0,16595.1983,4,-1.14,1.17,97.49,22.87,0.1,3,3,3.0,0,0,0,1,0,0,1,1
F000000JZ1,Schroder ISF Eurp Div Mxmsr I Acc EUR,2,2,0.0,0.65,5.23,6.94,15.98,12.74,17.88,-3.06,0.0,0.07,0.42,5.17,307760926.0,22592.0049,4,-9.0,1.06,91.7,17.62,-0.18,2,1,3.0,0,0,1,0,0,0,1,2
F00000OWFK,Liontrust Income C Acc GBP,4,4,4.90846,0.25,0.16,6.3,11.63,11.26,16.22,2.51,0.0,0.88,0.88,18.5,408363343.0,36741.08601,2,0.68,0.96,90.66,16.37,0.2,2,1,3.0,1,0,1,0,0,0,1,1
F00000J4XI,Vanguard SRI European Stk EUR Acc,4,3,0.0,1.39,5.45,9.41,19.71,16.97,33.56,8.43,0.0,0.15,0.01,11.0,315885477.0,33878.72809,3,0.52,1.02,99.75,15.56,0.49,2,2,3.0,0,0,0,1,0,0,1,2
F00000Z1T9,Threadneedle UK Growth \u0026 Inc Z Grs Acc,3,5,1.97127,0.47,0.86,9.12,13.71,13.23,21.59,2.79,3.0,0.89,-0.03,11.25,232637104.0,7034.34803,3,0.64,1.12,90.48,19.14,0.2,3,1,3.0,0,1,0,0,0,0,2,2
F00000X5VF,Threadneedle UK Eq Inc Ins Acc GBP,4,4,2.54928,0.2,0.72,9.19,12.69,11.94,20.89,3.47,0.0,1.05,0.06,10.75,3761800978.0,9030.581740000001,2,1.28,1.07,90.16,18.2,0.23,3,1,3.0,0,0,1,0,0,0,2,1
F00000SFJ1,Guinness European Equity Income C EURAcc,2,3,0.0,0.28,1.32,10.04,20.65,17.58,30.07,9.18,5.0,1.99,0.23,0.75,6318557.0,19682.27954,4,-1.04,1.1,93.76,17.52,0.51,2,3,3.0,0,0,0,0,0,1,1,2
F00000V83A,Kairos Intl SICAV Europa ESG Y,3,3,0.0,0.42,1.28,7.15,17.38,14.88,31.06,8.15,0.0,2.02,0.67,8.25,64223650.0,34451.37541,3,0.9,1.02,96.6,16.24,0.5,3,3,3.0,0,0,0,1,0,0,1,2
F00000OYVK,BNY Mellon UK Equity B Acc,3,4,2.43368,0.03,0.61,8.32,10.88,10.55,14.07,3.58,0.0,0.95,0.09,1.33,690764749.0,23219.09332,2,1.31,0.94,93.75,15.69,0.25,3,1,3.0,1,0,0,1,0,0,1,2
F00000GVNO,Royal London FTSE 350 Tracker Z Acc,3,3,2.19731,0.05,0.05,8.6,12.42,12.03,15.95,2.01,0.0,0.14,0.06,0.42,6823326042.0,23496.32843,3,-0.4,1.04,97.19,17.0,0.14,2,3,3.0,1,0,0,1,0,0,1,2
F00000LYF6,JPM UK Equity Core E Net Acc,4,2,2.24632,0.05,0.3,9.45,13.86,13.07,18.19,2.5,0.0,0.32,0.27,10.33,1657358398.0,19757.24308,3,0.32,1.06,96.49,17.49,0.19,3,3,3.0,1,0,0,1,0,0,1,2
F0GBR04EAP,ASI UK Equity A Acc,3,4,0.23765,-0.36,0.83,7.9,9.53,6.45,16.04,6.56,0.0,1.33,0.26,3.42,495992140.0,8066.22292,2,4.83,0.97,79.04,17.7,0.42,2,3,3.0,0,1,0,0,0,0,2,3
F00000ZFZT,Baillie Gifford UK Equity Focus B GBPAcc,5,3,0.61798,-1.31,-1.31,4.08,7.78,3.03,24.52,8.09,0.0,0.49,-0.03,2.08,207073000.0,4713.0973,3,6.5,1.02,74.16,19.25,0.48,2,3,3.0,0,1,0,0,0,0,2,3
F00000LI6I,AXAWF Fram Eurozone RI A Cap EUR,4,5,0.0,1.38,5.15,9.25,19.04,16.9,33.98,8.92,5.5,1.77,0.09,10.58,277376382.0,50022.58851,2,2.07,0.9,97.89,16.43,0.52,3,3,3.0,0,0,0,1,0,0,1,2
F000010BB8,L&G Europe ex UK Equity Index N EUR Acc,4,3,0.0,1.12,3.3,9.79,17.5,15.55,27.94,10.3,0.0,0.13,-0.02,4.75,70368068.0,41296.626000000004,2,0.48,1.0,99.78,15.49,0.62,3,3,3.0,0,0,0,0,0,1,1,2
